2026-07-14 11:00 | controle pairs: OK 9/9 | positions 9 | equity 99092.68 (-907.32) | net -35.3%/an
2026-07-14 12:00 | controle pairs: OK 9/9 | positions 9 | equity 99074.79 (-925.21) | net -35.8%/an
2026-07-14 13:00 | controle pairs: OK 9/9 | positions 9 | equity 99054.01 (-945.99) | net -36.5%/an
2026-07-14 14:00 | controle pairs: OK 9/9 | positions 9 | equity 99056.16 (-943.84) | net -36.2%/an
2026-07-14 15:00 | controle pairs: OK 9/9 | positions 9 | equity 99110.52 (-889.48) | net -34.0%/an
2026-07-14 16:00 | controle pairs: OK 9/9 | positions 9 | equity 99066.94 (-933.06) | net -35.5%/an
2026-07-14 17:00 | controle pairs: OK 9/9 | positions 9 | equity 99090.96 (-909.04) | net -34.4%/an
2026-07-14 18:00 | controle pairs: OK 9/9 | positions 9 | equity 99101.02 (-898.98) | net -33.9%/an
2026-07-14 19:00 | controle pairs: OK 9/9 | positions 9 | equity 99087.77 (-912.23) | net -34.3%/an
2026-07-14 20:00 | controle pairs: OK 9/9 | positions 9 | equity 99087.09 (-912.91) | net -34.1%/an
2026-07-14 21:00 | controle pairs: OK 9/9 | positions 9 | equity 99112.71 (-887.29) | net -33.0%/an
2026-07-14 22:00 | controle pairs: OK 9/9 | positions 9 | equity 99097.76 (-902.24) | net -33.5%/an
2026-07-14 23:00 | controle pairs: OK 9/9 | positions 9 | equity 99095.10 (-904.90) | net -33.4%/an
2026-07-15 00:00 | controle pairs: OK 9/9 | positions 9 | equity 99054.55 (-945.45) | net -34.8%/an
2026-07-15 01:00 | controle pairs: OK 9/9 | positions 9 | equity 99085.35 (-914.65) | net -33.5%/an
2026-07-15 02:00 | controle pairs: OK 9/9 | positions 9 | equity 99088.76 (-911.24) | net -33.2%/an
2026-07-15 03:00 | controle pairs: OK 9/9 | positions 9 | equity 99090.40 (-909.60) | net -33.0%/an
2026-07-15 04:00 | controle pairs: OK 9/9 | positions 9 | equity 99105.34 (-894.66) | net -32.4%/an
2026-07-15 05:00 | controle pairs: OK 9/9 | positions 9 | equity 99101.45 (-898.55) | net -32.4%/an
2026-07-15 06:00 | controle pairs: OK 9/9 | positions 9 | equity 99073.93 (-926.07) | net -33.2%/an
